constituencyname,diff,percentdiff,electors,constituencycode,Shape_Leng,Shape_Area
Belfast East,-4690,-6.27,70079,1,41373.4742538,66669393.1759
Belfast North,-1484,-1.98,73285,2,38910.8878464,53510651.8334
Belfast South,-4888,-6.54,69881,3,58816.9562803,105242396.786
Belfast West,-1037,-1.39,73732,4,38759.0907887,47845687.2851
Causeway,-409,-0.55,74360,5,352655.74527,1233260928.88
East Antrim,-36,-0.05,74733,6,174628.78586,536040895.924
Fermanagh and South Tyrone,-3731,-4.99,71038,7,458269.487673,2514377986.37
Foyle,-3371,-4.51,71398,8,97289.3788288,207417642.15
Mid Antrim,-4360,-5.83,70409,9,209693.874505,1295120611.13
Mid Down,2998,4.01,77767,10,207444.659413,671259167.359
Mid Ulster,-3268,-4.37,71501,11,211035.731532,1451647703.94
Newry and Armagh,866,1.16,75635,12,221803.203012,1068997328.86
North Down,-1325,-1.77,73444,13,164054.884995,361660293.66
South Antrim,1720,2.30,76489,14,146427.98449,580351484.789
South Down,2155,2.88,76924,15,291344.830649,1260562356.66
Sperrin,-1870,-2.50,72899,16,360008.513569,2406855481.86
Upper Bann,-4974,-6.65,69795,17,118643.481002,452900082.446
